X,Y,FID,Id,DateStarte,EstimatedC,WorkStatus,WorkType,Road,Suburb,Region,EntryDate,GlobalID,Descriptio,TrafficImp,SeeMoreName,SeeMoreUrl,LocalRoadName
12882838.7759181,-3943498.96834503,27691,76443,28/05/2024 00:00:00,31/01/2025 12:00:00,,Upgrades,LOCAL ROAD,,South West,17/12/2024 12:34:00,d50b57f2-81e1-4778-99d2-c2ca4a414e1d,Martin-Pelusey Rd and Golding Crs - Upgrades,"Road Closure - Golding Crescent temporarily closed between Nicholson Road and Martin-Pelusey Road
",,,Martin-Pelusey Rd 
12882276.4932521,-3835597.52469923,27730,76552,07/06/2024 00:00:00,31/12/2025 00:00:00,,Upgrades,LOCAL ROAD,,South West,30/05/2024 10:55:28,4e149cef-7c74-48b2-96cb-73f1330f6308,Waterside Dve to Mandurah Rd - Upgrades,"Cycle access path CLOSED from 7 June 2024 to late 2025. No access to and from Waterlily Drive to Mandurah Road. Click on 'Find out more' for detour map.
Detour route identified to Leslie Street and cross Mandurah Road at this intersection. ",,https://www.mainroads.wa.gov.au/globalassets/projects-initiatives/projects/regional/mandurah-estuary-bridge/mebd-7-june-to-2025-cycle-path-closure.png.jpg?v=49c7a6,Waterside Dve
12860034.6779563,-3973125.04506312,27762,76649,27/05/2024 00:00:00,31/01/2025 01:00:00,,Upgrades,Bussell Hwy,Ludlow to Yalyalup,South West,01/06/2024 18:55:53,20a73c7f-ca67-4f9a-b991-910e62e7340c,Bussell Hwy Hutton Rd to Tuart Dr Ludlow to Yalyalup - Upgrades,"24hr Works
Speed reductions in place",,,
12935349.9124261,-3938109.30510092,27783,76701,15/05/2024 07:00:00,31/01/2025 17:00:00,,Upgrades,Collie Williams Rd,Palmer,South West,05/06/2024 07:01:47,3fbfec5b-49f5-43d9-b36a-ea18ad37d07f,"Collie Williams Rd south of Hodd Rd, Palmer - Upgrades",Traffic Management - Speed Reduction - Single Lane - Alternate flow - Minor Delays Expected,,,
12894742.5776474,-3747941.48742748,27853,76841,01/07/2024 08:00:00,31/01/2025 08:00:00,,Maintenance,Wanneroo Rd,Various Suburb,Metro,12/06/2024 10:39:37,5ecc249a-dff5-4eb5-a991-f4217fb62325,"Wanneroo Rd between Treen St and Hector St, Various Suburb - Maintenance
8am to 8am",Lane closure in place,,,
12899449.7105081,-3755977.33307126,27902,76933,17/06/2024 18:30:00,31/01/2025 05:00:00,,Maintenance,East Pde,East Perth,Metro,18/06/2024 11:03:49,2e3d1ca8-5c5c-4c0d-9ecc-0d1b5c8e6686,"East Pde at Bramall St, East Perth - Maintenance
6:30pm to 5am",Lane closure in place,,,
13040657.7461603,-2364301.79506026,28023,77158,17/07/2024 06:00:00,28/02/2025 18:00:00,,Maintenance,North West Coastal Hwy,Roebourne Town Centre,Pilbara,09/07/2024 07:56:36,86f1d707-1e65-46d6-95ce-a5025660640e,"North West Coastal Hwy, Roe Street (Roebourne Town Centre) - Maintenance","Traffic Management and Speed Reduction in place. Delays expected. 
For Heavy Vehicle Travel Impacts, please visit the Main Roads WA website: Heavy Vehicles > Travel Impacts",,,
12901191.8520168,-3756696.76378303,28098,77324,09/07/2024 00:00:00,01/04/2025 23:59:00,,Maintenance,Graham Farmer Fwy,Burswood,Metro,29/10/2024 14:32:36,3e6771ba-9cfc-474c-92d2-3f791a1173ee,"Graham Farmer Fwy at Victoria Park Dr, Burswood - Maintenance
24/7 work","Day and nightworks, speed reduced, various closures and detours in place",,,
12913827.8388843,-3749258.86108041,28100,77333,12/07/2024 19:00:00,12/07/2025 00:00:00,,Upgrades,LOCAL ROAD,Midland ,Metro,10/07/2024 09:41:15,cc300a38-67d6-4620-b9be-db8d2176cda6,Cale St Railway Pde to Yelverton Dve Midland  - Upgrades,"Crossing Re-opening from 12 July 2024 - Left turn only from Cale St onto Great Eastern Hwy. Southbound access onto Cale St
will be restricted. Speed reduction to 50 km/h - Helena St Crossing from Railway Pde to Yelverton Dve is permanently closed since 10 July 2024 - Click on 'Find out more' to read METRONET Community letter.",,https://www.mainroads.wa.gov.au/globalassets/projects-initiatives/helena-street-level-crossing-now-closeed-letter-to-community-july-2024.pdf?v=49fadb,Cale St
12915124.8668337,-3780090.48108875,28118,77363,22/07/2024 19:30:00,17/08/2025 06:00:00,,Maintenance,Albany Hwy,Mount Nasura,Metro,25/07/2024 12:35:21,6222e845-bc8e-4fcb-a4bc-84f0dd6eec14,"Albany Hwy at Lefroy Rd, Mount Nasura - Maintenance
7:30pm to 6am",Lane closure and speed reduction in place,,,
12900859.3932998,-3748572.79014102,28177,77471,29/07/2024 10:00:00,02/05/2025 14:00:00,,Maintenance,Morley Dr,Morley,Metro,16/07/2024 10:27:27,00a17094-c1ca-4426-b9b9-8150744b28e1,"Morley Dr at Wellington Rd, Morley - Maintenance
10am to 2pm",Lane closure in place,,,
12897233.3906031,-3764341.06065971,28183,77483,28/07/2024 04:00:00,27/07/2025 11:00:00,,Maintenance,Canning Hwy,Como,Metro,16/07/2024 14:47:06,3388176b-53ba-421b-ba9a-a831ba048ae2,"Canning Hwy at Robert St, Como - Maintenance
4am to 11am",Lane closures and speed reduction in place,,,
12887960.0872836,-3817130.0112794,28259,77659,01/08/2024 09:00:00,15/01/2025 14:00:00,,Maintenance,Ennis Av,Karnup,Metro,25/07/2024 14:24:25,037b6cd6-46e6-4c31-8ffd-5478e494e039,"Ennis Av between Elanora Dr and Paganoni Rd, Karnup - Maintenance
9am to 2pm","Lane closure, Intermittent lane closure and speed reduction in place",,,
12890528.0985301,-3729593.74574186,28272,77690,24/07/2024 07:00:00,30/06/2025 18:00:00,,Maintenance,Wanneroo Rd,Wanneroo,Metro,03/12/2024 11:01:42,1edb8bc8-3f6d-4486-89f0-cf18956e7c27,"Wanneroo Rd at Neville Dr, Wanneroo - Maintenance
7am to 6pm",Lane closures and speed reduction in place,,,
12887817.0605473,-3810602.62153096,28274,77694,02/08/2024 07:00:00,30/06/2025 17:00:00,,Maintenance,Ennis Av,Various Suburb,Metro,29/07/2024 12:23:23,41b18ec4-2338-4d35-9cfd-e0aee1cd451f,"Ennis Av and Mandurah Rd between Office Rd and Singleton Beach Rd and  Various Suburb - Maintenance
7am to 5pm","Intermittent lane closure, lane closure and speed reduction in place",,,
12905456.6963065,-3736524.53373196,28318,77795,01/08/2024 07:00:00,31/12/2025 17:00:00,,Maintenance,Gnangara Road,Swan,Metro,01/08/2024 10:53:33,6abfd2f5-3716-41d1-9724-322eb4d51655,"Gnangara Road westbound to Tonkin Hwy northbound, Swan - Maintenance
7am to 5pm",Various closures and detour in place,,,
12911046.6392543,-3749543.41075831,28322,77802,31/07/2024 09:00:00,31/07/2025 14:00:00,,Maintenance,Great Eastern Hwy,Guildford,Metro,01/08/2024 13:41:36,3f7657f1-9f57-4605-ac92-b80663a824b5,"Great Eastern Hwy at James St, Guildford - Maintenance
9am to 2pm",Lane closure and speed reduction in place,,,
12896234.5131832,-3765009.51305283,28357,77907,04/08/2024 06:00:00,02/08/2025 10:00:00,,Maintenance,Canning Hwy,"Mount Pleasant,",Metro,08/08/2024 11:10:29,a10fb3bc-845b-481b-8fe3-ba96403eb908,"Canning Hwy between Kintail Rd and Sleat Rd, Mount Pleasant, - Maintenance
6am to 10am",Lane closure and speed reduction in place,,,
12759871.2456993,-3330056.77759098,28364,77919,11/09/2024 07:00:00,12/09/2025 16:00:00,,Upgrades,North West Coastal Hwy,Buller,Mid West Gascoyne,05/09/2024 21:33:46,91395399-452c-4395-9764-3733048e9eac,"North West Coastal Hwy, Buller River - Bridge Upgrades",Traffic Management in Place - Speed Restriction - Expect Minor Delays,,,
12913769.407671,-3772547.8273339,28404,77958,21/08/2024 00:00:00,31/08/2025 11:00:00,,Upgrades,LOCAL ROAD,Gosnells,Metro,15/08/2024 11:50:47,1c35db7a-95a0-4869-b5e2-9e5415703ca1,Station Street at Cargeeg Bridge Gosnells - Upgrades,Cargeeg Bridge over Canning River on Station Street closed from 21 August 2024 until Aug 2025 - pedestrian access maintained while detour is in place for traffic - click on 'find out more' for detour map,,https://www.mainroads.wa.gov.au/globalassets/community-environment/local-road-improvements/station-street-detour-map.jpg?v=4a30f8,Station Street
12828472.171055,-3986060.61349463,28406,78021,02/09/2024 07:00:00,24/01/2025 18:00:00,,Utility works,LOCAL ROAD,Vasse,South West,03/12/2024 12:42:58,2c4d135a-3aec-4161-a1b0-8572faa14822,"Northerly St between Lynwood St & Yebble Dr, Vasse - Vasse Village subdivision Works ","Traffic Management - Detour in signage in place (Bussell Hwy) - Road Closure Northerly Street between Lynwood St & Yebble Dr Vasse - Affected roads Threefin Circuit, Pinta Street, Yellowtail Drive, Tarwhine Drive, Cuttlefish Drive and Harlequin Boulevard, Vasse",,,Northerly St
12887562.0791215,-3820321.5999025,28466,78172,02/09/2024 07:00:00,31/01/2025 19:00:00,,Maintenance,Mandurah Rd,Karnup,Metro,19/11/2024 09:37:54,79bcfb24-3960-4f8e-9b4b-1ee4c9cc79f3,"Mandurah Rd at Paganoni Rd, Karnup - Maintenance
7am to 7pm",Lane closure and speed reduction in place,,,
13003165.5785637,-3759799.93843237,28518,78272,02/09/2024 06:00:00,31/01/2025 18:00:00,,Upgrades,Great Southern Hwy,,Wheatbelt,30/08/2024 11:46:57,22432a5f-72ab-4250-a7e0-440202eab465,Great Southern Hwy - Young Road Shire of York and Brookton Hwy - Upgrades,"Lane closure, speed reduced, expect delays",,,
13025280.8823981,-3801323.75834885,28519,78276,02/09/2024 06:00:00,31/01/2025 18:00:00,,Upgrades,Great Southern Hwy,,Wheatbelt,30/08/2024 11:52:02,16c33171-1ab9-41c2-bdb7-ce88cbc2eb2a,Great Southern Hwy - Young Road Shire of York and Brookton Hwy - Upgrades,"Lane closure, speed reduced, expect delays",,,
12760966.6653415,-3324526.35558605,28553,78345,09/09/2024 06:00:00,22/06/2025 18:00:00,,Upgrades,North West Coastal Hwy,,Mid West Gascoyne,04/09/2024 09:53:25,ae1ed6e4-857e-449b-8739-1305ae0bb415,North West Coastal Hwy Oakajee - Upgrades,"Traffic Management in place with temporary traffic signals. Width restriction during working hours 3.5m, Width restriction outside of working hours 4.1m. Please allow extra travel time.",,,
12760822.0108835,-3326076.26353898,28554,78348,09/09/2024 06:00:00,30/06/2025 19:00:00,,Maintenance,North West Coastal Hwy,,Mid West Gascoyne,04/09/2024 09:46:42,5c2ae585-49e8-4fb2-83d9-32cd81bfc548,North West Coastal Hwy Oakajee - Parking Bay Closure,The Southbound Parking Bay will be permanently removed to facilitate the construction of the Oakajee Intersection.,,,
13603981.2387367,-2036295.9012208,28558,78368,01/10/2024 00:00:00,31/05/2025 00:00:00,,Upgrades,Port Dr,,Kimberley,14/11/2024 16:05:12,fb815046-d5f4-4ed4-98cc-edf2ae706e3f,Port Drive between Archer Street and the Broome Port,"From October 2024 to mid-2025, there will be traffic management and speed reductions in place on Port Dr between Archer St and the Broome Port, to allow for upgrades. Delays of less than 15 minutes may be experienced.
Work hours are on weekdays between 6am to 5pm and every second weekend. There will be no works during the wet season.",,,
13339274.6695875,-2673706.82636638,28644,78539,13/09/2024 06:00:00,13/09/2025 18:00:00,,Upgrades,Marble Bar Rd,Newman,Pilbara,11/09/2024 14:33:10,02a9f4a4-dbcc-4310-bb72-ba911b67369b,"Marble Bar Rd, Approx 5km South Of Dam Access Rd Newman - Increase in Vehicles",Please be aware of the increase in heavy vehicles and earthworks machinery in the area.,,,
12886921.7182842,-3746201.20612864,28661,78581,12/09/2024 09:00:00,31/03/2026 15:00:00,,Maintenance,Marmion Av,North Beach,Metro,28/09/2024 10:21:41,013546b6-5dd1-4c8a-a6a3-c825261ce8cd,"Marmion Av at College Ct, North Beach - Maintenance
9am to 3pm",Various closures and speed reduction in place,,,
12919085.8294908,-3750288.41755491,28663,78584,23/02/2025 18:00:00,24/02/2025 05:00:00,,Maintenance,Great Eastern Hwy,Darlington,Metro,12/09/2024 15:46:34,201c1142-5c8a-460d-afe5-94a0868b3835,"Great Eastern Hwy at Old York Rd, Darlington - Maintenance
6pm to 5am",Various closure and detour in place,,,
12913840.3740596,-3790232.16678624,28689,78631,17/10/2024 19:00:00,03/02/2025 05:00:00,,Maintenance,Thomas Rd,Byford,Metro,16/09/2024 11:32:52,1156c968-4946-435b-acb9-b003be84758d,"Thomas Rd between South Western Hwy and Wungong South Rd, Byford - Maintenance
7pm to 5am",Lanes closures and speed reduction in place,,,
12879674.7127238,-3713494.87513885,28723,78705,19/08/2024 07:00:00,30/06/2025 19:00:00,,Maintenance,LOCAL ROAD,Alkimos,Metro,19/09/2024 11:50:15,04080bc3-c9ef-477d-80bf-c4957c3e513c,"Romeo Rd between Wanneroo Rd and Marmion Av, Alkimos - Maintenance
7am to 7pm","Traffic management, various closure, detour and speed reduction in place",,,Romeo Rd
13040706.9360795,-2364903.88594433,28746,78739,17/09/2024 12:00:00,31/08/2025 15:00:00,,Maintenance,North West Coastal Hwy,Roebourne,Pilbara,23/09/2024 09:07:17,93f3252b-26f8-4dac-904b-ce05fb6aad73,"North West Coastal Hwy, near Padbury Street, Roebourne - Median Maintenance","Works will only occur every second Tuesday. Traffic Management in Place. Delays expected. For Heavy Vehicle Travel Impacts, Please Visit the Main Roads WA Website: Heavy Vehicles > Travel Impacts",,,
12889080.4481882,-3923393.49638365,28808,73479,06/02/2025 07:00:00,07/02/2025 15:00:00,,Maintenance,LOCAL ROAD,Wellesley,South West,11/12/2024 12:47:30,14f02cdd-c4c5-4e92-9915-91fb44241c96,"Marriott Rd at the Wellesley River Bridge, Wellesley - Minor Construction Works - Monday to Saturday",Traffic Management - Speed Reduction - Lane Closure - Alternate Traffic Flow - Minor Delays Possible,,,Marriott Rd
12913199.9840684,-3748831.48586482,28812,78861,02/10/2024 07:00:00,25/05/2025 08:00:00,,Maintenance,Great Eastern Hwy,Midland,Metro,30/09/2024 11:20:58,28fcee2d-1ad5-4daf-a44b-a4ea49dad021,"Great Eastern Hwy at Old Great Northern Hwy, Midland - Maintenance
7am to 8am",Speed reduction in place,,,
12900239.3704542,-3758856.61812668,28835,78905,01/10/2024 07:00:00,30/06/2025 15:00:00,,Maintenance,Causeway,,Metro,02/10/2024 09:21:46,cd4f36b1-bc18-4c92-b413-66e1beaad773,Causeway between Great Eastern Highway and Riverside Drive - Maintenance,Intermittent closures to footpaths and underpasses on and around the heritage Causeway bridges from 7am to 3pm to allow for maintenance works,,,
13201422.0528042,-2316146.67767242,28862,77779,05/08/2024 06:00:00,31/10/2025 18:00:00,,Upgrades,Great Northern Hwy,Port Hedland,Pilbara,03/12/2024 15:08:54,a19ded68-ce06-4c0b-8969-77cc6253d3b9,"Great Northern Hwy, near Pinga Street Intersection, Wedgefield - Great Northern Highway & Pinga Street  Intersection Upgrade Project","Traffic Management, Speed Reduction and Diversion Road in Place. Delays expected. For Heavy Vehicle Travel Impacts, Please Visit the Main Roads WA Website: Heavy Vehicles > Travel Impacts",,https://www.mainroads.wa.gov.au/projects-initiatives/all-projects/regional/great-northern-highway-and-pinga-street/,
12916716.4524662,-3721706.09741661,28865,78976,07/10/2024 07:00:00,28/07/2025 17:00:00,,Maintenance,Great Northern Hwy,Bullsbrook,Metro,29/11/2024 10:08:01,9e735aa0-8835-45e9-8d31-c0c38ed41600,"Great Northern Hwy between Stock Rd and Squadron Bvd, Bullsbrook - Maintenance
7am to 5pm",Low traffic impact,,,
12903711.8409117,-3765431.00476456,28866,78980,14/10/2024 09:00:00,14/10/2025 15:00:00,,Maintenance,Leach Hwy,Wilson,Metro,07/10/2024 11:12:27,70aa8a52-aa95-4211-8ed0-b668d6993348,"Leach Hwy at Braibrise Rd, Wilson - Maintenance
9am to 3pm",Lane closure and speed reduction in place,,,
12848641.6684098,-3984791.5621795,28894,79032,25/10/2024 00:00:00,31/03/2025 11:59:00,,Upgrades,Sues Rd,Yalyalup,South West,23/10/2024 08:27:20,4ef7877c-d0f4-400c-b760-428f57c48bc0,"Sues Rd between Bussell Hwy& Vasse Hwy, Yalyalup - Full Road Closure - Road users will be unable to turn on to Sues Road from Bussell Highway - 25/10/2024 to 31/3/2025",Traffic Management - Road will be closed on Bussell Highway – Detour for heavy vehicles via Vasse Highway. Road users will be unable to turn on to Sues Road from Bussell Highway. Closure will remain in place for duration of works. ,,,
13323466.072391,-2773797.09957088,28926,75578,25/04/2024 06:00:00,16/01/2025 08:46:00,,Upgrades,Great Northern Hwy,Newman,Pilbara,20/12/2024 08:46:53,93277b50-55b6-4e50-9c06-ce0f9005ffed,"Great Northern Hwy, Between Sylvania Rd to Kalgan Drive, Newman - Shoulder Sealing ","Traffic Management, Speed Reduction, Shuttle Flow and Portable Traffic Control Devices in Place. Delays Expected. For Heavy Vehicle Travel Impacts, Please Visit the Main Roads WA Website: Heavy Vehicles > Travel Impacts",,https://www.mainroads.wa.gov.au/projects-initiatives/all-projects/regional/regional-road-safety-upgrades/,
12903870.3355417,-3759395.7017835,28946,75348,07/04/2024 07:00:00,07/04/2025 14:30:00,,Maintenance,Orrong Rd,Rivervale,Metro,14/10/2024 11:30:47,28a2f50b-40b7-4852-b38e-82ba14230a95,"Orrong Rd at Alexander Rd, Rivervale - Maintenance
7am to 2:30pm",Lane closure in place,,,
12856018.6018979,-3977014.60867893,28948,76801,24/06/2024 00:00:00,31/03/2025 23:59:00,,Upgrades,LOCAL ROAD,Ludlow,South West,14/10/2024 12:27:21,d7b58abd-350e-4123-911c-fa82d0671a9b,Ludlow-Hithergreen Rd Bussell Hwy & Sunflower Animal Farm Entrance (via  Ludlow - Upgrades,"Traffic Management - Road closure of Ludlow-Hithergreen Rd north between Bussell Highway and Ludlow West Road, Ludlow - Access maintained to Sunflower animal Farm via Tuart Drive northern end of Ludlow Hithergreen Rd",,,Ludlow-Hithergreen Rd
12885720.8015047,-3768610.06038194,28954,79157,07/09/2024 07:00:00,01/12/2026 14:00:00,,Upgrades,LOCAL ROAD,,Metro,14/10/2024 13:53:36,c1106f1e-7018-4e0d-b91c-28174373c972,Fremantle Traffic Bridge PSP from Podger Lane to Canning Highway - Upgrades,Fremantle Traffic Bridge PSP from Podger Lane to Canning Highway closed from 7:30am to 5:30pm Monday to Saturday - click on 'find out more' for detour,,https://www.mainroads.wa.gov.au/4a9135/globalassets/projects-initiatives/projects/metro/swan-river-crossings/freo-bridge-path-closure-podger-to-canning.jpg,Fremantle Traffic Bridge PSP
13133296.0316691,-4156899.1406242,28961,78951,06/01/2025 07:00:00,29/01/2025 17:00:00,,Upgrades,LOCAL ROAD,,Great Southern,28/11/2024 08:13:51,1f3747c6-4ee5-45e9-92d8-ea6fba382c16,"Nanarup Road, Kalgan - Bridge Maintenance Works",Speed reduction - follow direction of traffic management on site - expect delays,,,Nanarup Road
13093106.1867124,-4000500.53815511,28963,79168,21/10/2024 06:00:00,31/01/2025 18:00:00,,Maintenance,Great Southern Hwy,,Great Southern,09/12/2024 09:52:47,fb646afb-7238-4381-85cf-540d70552de9,Great Southern Hwy from Brassey Rd to Clinic Rd - Maintenance,Traffic control on site - speed reduction with lane closures in place ,,,
12885577.0953139,-3768316.52101982,28964,79170,04/06/2024 10:44:00,01/12/2026 11:00:00,,Upgrades,Queen Victoria St,,Metro,15/10/2024 10:46:08,e32798b8-9f42-4f51-86fd-d7347c53efb6,Queen Victoria St PSP between Tydeman Road and Fremantle Traffic Bridge - Upgrades,Queen Victoria St PSP between Tydeman Road and Fremantle Traffic Bridge closed - click on 'find out more' for detour,,https://www.mainroads.wa.gov.au/4a8ff1/globalassets/projects-initiatives/projects/metro/swan-river-crossings/src-qv-from-tydeman-to-fremantle-traffic-bridge-psp-detour.jpg,
12904946.7476492,-3755545.69672011,28966,79173,24/12/2024 07:00:00,24/12/2025 08:00:00,,Maintenance,Great Eastern Hwy,Belmont,Metro,15/10/2024 10:58:27,dd4dc958-94fb-4b39-9da4-9ca0de026f82,"Great Eastern Hwy at Resolution Dr and Hardey Rd, Belmont - Maintenance
7am to 8am",Lane closures in place,,,
12885440.3691603,-3733176.29318355,28967,79172,21/10/2024 09:00:00,31/05/2025 15:00:00,,Maintenance,Ocean Reef Rd,Various Suburbs,Metro,15/10/2024 11:03:27,9e219cc6-6b93-4115-8482-c16d9f3c5045,"Ocean Reef Rd at Trappers Dr and Marmion Av, Various Suburbs - Maintenance
9am to 3pm",Lane closures in place,,,
12883901.9565962,-3729693.22596391,28968,79174,21/10/2024 09:00:00,30/05/2025 15:00:00,,Maintenance,Marmion Av,Various suburbs,Metro,15/10/2024 11:01:32,967afb37-9ae9-4614-8eab-0265c248f5e5,"Marmion Av at Beach Rd and Shenton Av, Various suburbs - Maintenance
9am to 3pm",Lane closures in place,,,
12923184.9219738,-3787565.12149959,28992,79214,21/10/2024 07:00:00,25/10/2025 17:00:00,,Maintenance,Albany Hwy,Various suburbs,Metro,16/10/2024 12:29:59,e2cd4353-b0ab-43a0-97f8-0badfa785232,"Albany Hwy between Springfield Rd and North Bannister Wandering Rd, Various suburbs - Maintenance
7am to 5pm",Intermittent lane closure in place,,,
12917162.0491178,-3723821.06052475,29022,79282,31/08/2021 07:00:00,28/02/2025 18:00:00,,Maintenance,Great Northern Hwy,Bullsbrook,Metro,20/10/2024 15:03:14,9f52808d-b73d-4c5b-b472-b137d3da83a4,"Great Northern Hwy at Stock Rd, Bullsbrook - Maintenance
7am to 6pm","Various lane closures, traffic management and speed reduction in place",,,
12976396.9521956,-4072055.32314845,29063,79362,21/10/2024 07:00:00,30/06/2025 17:00:00,,Upgrades,LOCAL ROAD,Mordalup,South West,24/10/2024 07:56:32,539bcdd1-0597-4bfe-8575-9b6685b6704a,Mordalup Rd Tone River Bridge Mordalup - Demolition of the existing Bridge and replacement with new 2-span concrete bridge - 21 October 24 to 30 June 25.,"Closure of Mordalup Rd at the bridge site - Due to the site constraints, a side track bypassing the closure, will not be possible. A signed detour route is also not possible as it will be long and not suitable for all road users",,,Mordalup Rd
12878413.795447,-3713431.48476025,29073,79381,25/10/2024 07:00:00,03/10/2025 19:00:00,,Maintenance,Marmion Av,Alkimos,Metro,13/11/2024 10:17:18,eaa3a3af-97a7-4075-94a4-4b19cca2a76d,"Marmion Av at Graceful Blvd and Romeo Rd, Alkimos - Maintenance
7am to 7pm","Traffic management, lane closures and speed reduction in place",,,
12912320.5815535,-3764290.66465873,29087,79416,15/01/2025 19:00:00,05/02/2025 06:00:00,,Resurfacing,Welshpool Rd East,Wattle Grove,Metro,05/12/2024 12:03:08,e0209e76-a85d-4f6b-9dac-28076d09fb67,"Welshpool Rd East at Bruce Rd and Brook Rd, Wattle Grove - Resurfacing
7pm to 6am",Lane closure and speed reduction in place,,,
12993448.9174468,-3619802.799243,29093,79434,04/11/2024 06:00:00,13/03/2025 17:00:00,,Upgrades,Northam Pithara Rd,,Wheatbelt,29/10/2024 11:02:47,aff5249d-f0da-459a-88c7-37a2daf7130e,Northam Pithara Rd - Haywood Rd to Manmanning Rd - Shire of Goomalling - Upgrades,"Lane closures, speed reduced, expect delays",,,
12903535.3119538,-3748707.5780766,29095,79435,01/11/2024 00:00:00,31/08/2025 17:30:00,,Upgrades,Morley Dr,Morley,Metro,15/11/2024 12:50:20,38022137-0abc-4bc6-bdaf-0eb9d749a319,"Morley Dr and Bath Rd intersection, Morley - Upgrades
7am to 5:30pm",Various lane closures and speed reductions in place,,,
